crop name ,life spam ,approximate cost ,best season ,organic fertilizers,video link 
rice, 3 to 4 months,37000 to 40000,winter (rabi),azolla and duckweed fern ,https://youtu.be/A7fHo_UQ9Ms
maize,4 to 5 months,15000 to 18000,monsoon(kharib),compost and fish manure,https://youtu.be/nfMLKP1nXK0
chickpea,up to 3 months,30000 to 33000,winter (rabi),Vermicompost and organic manure,https://youtu.be/AnspJeJDDgs
kidneybeans,3 to 4 months,30000 to 33000,monsoon(kharib),Vermicompost and animal manure,https://youtu.be/IFTuvbPgQMk
pigeonpeas,5 to 6 months,35000 to 37000,monsoon(kharib),Vermicompost and animal manure,https://youtu.be/f_NEEyMUlX4
mothbeans,2 to 3 months,15000 to 20000,monsoon(kharib), organic amendments compost,https://youtu.be/ZOoImaKemv8
mungbean,2 to 2.5 months,15000 to 20000,monsoon(kharib),fish emulsion and compost,https://youtu.be/W1hUVi_4U4I
blackgram,3 to 4 months,20000 to 25000,summer ,Vermicompost and farmyard manure,https://youtu.be/GgPx--FFtco
lentil,2.5 to 4 months, 10000 to 15000,Winter ,Compost and well-rotted manure,https://youtu.be/Bt9XX5K7OX8
pomegranate,20 to 30 years,10000 to 17000,Summer ,Compost and manure ,https://youtu.be/86LoTVjGteA
banana,10 to 15 years,20000 to 35000,Winter,Compost  and Manure,https://youtu.be/Vyn6r97GgvA
mango,30 to 100 years,50000 to 80000,Summer ,Compost and Bone Meal,https://youtu.be/gr0wr4Q8u48
grapes,30 to 50 years,15000 to 60000,Summer ,well rotted manure and bone meal,https://youtu.be/R9fSQPSYXfI
watermelon,2 to 3 months,10000 to 70000,Summer,compost and well-rotted manure,https://youtu.be/vmMmYUxJSI4
muskmelon,115 Days,90000 to 120000,Winter,Azospirillum and Phosphobacteria,https://youtu.be/9zmmD_8c_Hc
apple,50 to 80 years,2.5 lakh to 3 lakh,Early Winter," composted chicken manure, cottonseed, feather meal",https://youtu.be/epaXkdnjO8I
orange,50 to 60 years,15000 to 20000,Monsoon,Composted manure ,https://youtu.be/BbCBVZDrlE8
papaya,20 to 25 years,70000 to 100000,Spring,Compost With Boron,https://youtu.be/ulpw9ytIgTU
coconut,60 to 80 years,150000 to 180000,All Year,Organic Manure,https://youtu.be/MvW3wsr8jyY
cotton,70 to 100 years,80000 to 100000,Summer,N-P-K 20-10-10,https://youtu.be/BofeiKsE5pU
jute,4 months,20000 to 30000,Rainy,well decomposed Farm Yard Manure (F.M.Y) or compost,https://youtu.be/VySft7vX1J8
coffee,Upto 100 years,120000 to 140000,Winter,Rose and citrus fertilizers,https://youtu.be/vzGa9Wi-KwM
wheat,5 Month,25000 to 30000,Rabi (Winter),chicken manure,https://youtu.be/JN0ICendQns
